Observation,FLC,Dataset,Method,DGM.Y,DGM.X,Censoring,SampleSize,ExtraVars,Cindex2.5,Cindex10,Cindex50,Cindex80,Cindex90,Cindex97.5,IBS,qloss2.5,qloss10,qloss50,qloss80,qloss90,qloss97.5
26,1,5,L1,Weibull,Linear,10,400,None,0.734851229,0.77912031,0.797800776,0.775187581,0.753661061,0.715472186,0.06198448,65.77592117,262.846294,1281.338057,1773.612911,1741.063266,1597.176085
27,1,5,CIF,Weibull,Linear,10,400,None,0.803492885,0.805226391,0.78843467,0.80771022,0.807968952,0.740620957,0.066418666,65.77643502,262.8315522,1285.45388,1827.597268,1923.182964,1920.250524
28,1,5,RotSF,Weibull,Linear,10,400,None,0.815239327,0.788098318,0.763622251,0.767943079,0.754282018,0.722690815,0.067115661,65.74767578,262.2791828,1276.964674,1826.666047,1885.761421,1917.066397
29,1,5,ORSF,Weibull,Linear,10,400,None,0.820181113,0.84915912,0.856688228,0.848382924,0.834178525,0.781190168,0.058652597,65.76767829,262.6048331,1258.44685,1781.428716,1862.126447,1899.611282
30,1,5,RIST,Weibull,Linear,10,400,None,0.806623545,0.811228978,0.810892626,0.816300129,0.813790427,0.765899094,0.055935312,65.73065422,262.0423363,1241.60349,1746.97242,1851.903017,1898.997325
31,1,6,logrank,Weibull,Linear,10,400,None,0.758983924,0.788221078,0.83369234,0.847483451,0.830119786,0.734869181,0.020737962,132.7793599,529.6669461,2553.861752,3668.584069,3911.044038,3929.932277
32,1,6,L1,Weibull,Linear,10,400,None,0.799779342,0.825864243,0.852553326,0.815041505,0.759141536,0.671377535,0.020737962,132.835781,530.8872346,2582.069616,3683.752648,4097.685091,4213.317044
33,1,6,CIF,Weibull,Linear,10,400,None,0.820951981,0.835373542,0.852185563,0.863376064,0.816512556,0.644136808,0.019534244,132.8358854,530.9424296,2593.726097,3957.452392,4374.235621,4656.391499
34,1,6,RotSF,Weibull,Linear,10,400,None,0.799253967,0.810339393,0.823316171,0.828333508,0.827703058,0.742250709,0.017941036,132.720301,529.0751757,2568.086025,3929.71122,4339.231986,4642.818697
35,1,6,ORSF,Weibull,Linear,10,400,None,0.838946096,0.867710413,0.892770831,0.892849637,0.891798886,0.793185878,0.017225868,132.8130467,530.0965307,2562.582426,3728.007431,3696.431235,3903.861129
36,1,6,RIST,Weibull,Linear,10,400,None,0.813570453,0.831617106,0.852474519,0.845355679,0.845749711,0.794341704,0.018318834,132.7721211,529.3116162,2551.662814,3864.45882,3810.322558,3892.592266
37,1,7,logrank,Weibull,Linear,10,400,None,0.731077128,0.769051162,0.813850259,0.831810951,0.807589675,0.721865859,0.036911466,59.26985014,235.7413558,1080.122812,1428.854563,1498.050711,1471.043811
38,1,7,L1,Weibull,Linear,10,400,None,0.778519013,0.826499718,0.811771951,0.782008518,0.764124801,0.679812182,0.036911466,59.32649293,236.6891633,1102.298999,1597.938822,1650.332938,1427.31727
39,1,7,CIF,Weibull,Linear,10,400,None,0.798378406,0.836685996,0.814363422,0.807127829,0.796633653,0.703879509,0.03883444,59.33399949,236.8559037,1122.994791,1570.291559,1635.429229,1495.738881
40,1,7,RotSF,Weibull,Linear,10,400,None,0.786165136,0.806460717,0.819366757,0.809257454,0.807846256,0.770077488,0.037247994,59.28744477,236.2339054,1092.340146,1551.098691,1555.431918,1433.265354
41,1,7,ORSF,Weibull,Linear,10,400,None,0.814825268,0.867834967,0.872915277,0.861830964,0.846820958,0.746497665,0.034090254,59.30821113,236.2176347,1058.628549,1414.233386,1519.398436,1460.278999
42,1,7,RIST,Weibull,Linear,10,400,None,0.809334428,0.814209473,0.822445733,0.814671319,0.805177811,0.77415713,0.034675854,59.22340345,234.7709117,1066.096461,1477.313768,1464.519987,1414.232413
43,1,8,logrank,Weibull,Linear,10,400,None,0.742634591,0.790642221,0.850042391,0.861169987,0.845803306,0.787595379,0.046422598,73.79611708,294.106831,1386.678627,1930.308026,2043.88457,2058.365839
44,1,8,L1,Weibull,Linear,10,400,None,0.779117211,0.808234421,0.845246927,0.807068673,0.773182493,0.729572912,0.046422598,73.85129553,294.917978,1403.70322,2022.505373,2017.165366,1906.587285
45,1,8,CIF,Weibull,Linear,10,400,None,0.810247986,0.836689275,0.857063374,0.838967783,0.816845061,0.782905892,0.052653851,73.8503715,295.0358259,1415.805717,2062.193674,2094.068504,2080.433152
46,1,8,RotSF,Weibull,Linear,10,400,None,0.787595379,0.818991098,0.841378762,0.852055956,0.850095379,0.830171683,0.045625209,73.76338237,293.4561906,1391.194902,1958.979823,2090.324537,2060.462828
47,1,8,ORSF,Weibull,Linear,10,400,None,0.837934506,0.857619754,0.887028402,0.876536668,0.867608097,0.807227639,0.048693782,73.83881957,294.7323606,1404.077119,2015.253574,2003.330758,2055.131101
48,1,8,RIST,Weibull,Linear,10,400,None,0.782058075,0.825296736,0.838358415,0.8310195,0.827707715,0.801928783,0.046498278,73.79043057,292.5844449,1384.942246,1946.271712,2052.753348,2060.511898
49,1,9,logrank,Weibull,Linear,10,400,None,0.775693569,0.797104876,0.830233291,0.828157839,0.802674443,0.766104456,0.02910731,67.11561259,267.9287158,1255.763193,1731.250638,1895.973064,1927.486547
50,1,9,L1,Weibull,Linear,10,400,None,0.766130727,0.81454918,0.806405002,0.760745061,0.748160992,0.715978352,0.02910731,67.14602061,267.9758242,1280.239677,1847.783138,1888.634645,1728.814307
51,1,9,CIF,Weibull,Linear,10,400,None,0.798470996,0.821668768,0.834226566,0.793689575,0.79069462,0.743143127,0.035457541,67.1517756,268.2656293,1293.29176,1872.297722,1959.491964,1962.728821
52,1,9,RotSF,Weibull,Linear,10,400,None,0.785072509,0.795581127,0.803252417,0.793637032,0.782997058,0.770071459,0.031978232,67.08405366,267.082651,1259.405627,1848.489815,1944.351767,1952.424737
53,1,9,ORSF,Weibull,Linear,10,400,None,0.833359605,0.850803909,0.876628836,0.869509248,0.860498108,0.824295923,0.02865998,67.1433298,267.8235715,1271.651442,1767.536556,1860.661538,1927.045341
54,1,9,RIST,Weibull,Linear,10,400,None,0.806037201,0.826187474,0.83958596,0.824059479,0.812894073,0.808060109,0.027430409,67.04001304,266.5826237,1237.05813,1750.732432,1878.628836,1925.339751
55,1,10,logrank,Weibull,Linear,10,400,None,0.771835007,0.770993729,0.812522307,0.813414572,0.807347168,0.734895223,0.042976977,63.53334777,253.0507898,1199.646315,1711.175007,1797.428885,1796.829437
56,1,10,L1,Weibull,Linear,10,400,None,0.777265079,0.825090501,0.816091368,0.788991995,0.760312038,0.688981798,0.042976977,63.58151651,253.9412489,1203.17133,1727.391779,1857.188892,1819.390365
57,1,10,CIF,Weibull,Linear,10,400,None,0.833299342,0.833860195,0.837250803,0.821725386,0.780298781,0.690154489,0.041797133,63.58144076,253.9657235,1215.66311,1710.434085,1837.866312,1802.558029
58,1,10,RotSF,Weibull,Linear,10,400,None,0.796487024,0.797761689,0.808851272,0.799597206,0.79475348,0.751108958,0.040338208,63.48465994,252.3538002,1181.580035,1710.998833,1777.66318,1775.896144
59,1,10,ORSF,Weibull,Linear,10,400,None,0.842069036,0.863814817,0.870162647,0.868658543,0.843471167,0.771478101,0.035783878,63.56665185,253.6526708,1186.497738,1627.849758,1765.647319,1775.950792
60,1,10,RIST,Weibull,Linear,10,400,None,0.815326569,0.833630755,0.83227961,0.827563351,0.800693418,0.777723959,0.040230502,63.47116462,252.1723583,1172.107687,1690.037733,1791.931265,1792.830909
61,2,11,logrank,Weibull,Linear,10,1700,None,0.822413969,0.857997353,0.885664834,0.882101405,0.881490531,0.856088373,0.006337439,62.87853773,247.7074872,1045.490686,1296.337875,1379.300242,1398.865593
62,2,11,L1,Weibull,Linear,10,1700,None,0.848783344,0.867567705,0.881592344,0.862400733,0.837482183,0.819715944,0.006337439,63.13005202,250.6983063,1122.057615,1460.03952,1532.360085,1541.990174
63,2,11,CIF,Weibull,Linear,10,1700,None,0.855859295,0.871080228,0.882483201,0.871742008,0.86428426,0.849699654,0.006647123,63.12202045,251.042112,1143.093334,1522.427597,1693.471795,1691.023461
64,2,11,RotSF,Weibull,Linear,10,1700,None,0.808822032,0.814599878,0.830457137,0.824730198,0.828217267,0.804953166,0.008415497,63.06939553,250.9244548,1177.938575,1610.971186,1742.674426,1723.421264
65,2,11,ORSF,Weibull,Linear,10,1700,None,0.883374058,0.900071269,0.914655875,0.910608837,0.899231317,0.869553044,0.005798136,63.05371874,249.9160273,1093.498261,1209.360177,1334.170351,1426.772919
66,2,11,RIST,Weibull,Linear,10,1700,None,0.860415394,0.873854612,0.878461617,0.874720016,0.871691102,0.851735899,0.005760222,62.5923938,245.0301651,1068.783798,1426.685661,1265.265987,1287.972077
67,2,12,logrank,Weibull,Linear,10,1700,None,0.817752073,0.850314266,0.879258438,0.875904505,0.872814662,0.848967411,0.018778836,148.900839,590.6020215,2688.487388,3975.960747,4360.929534,4582.601194
68,2,12,L1,Weibull,Linear,10,1700,None,0.835102731,0.858395394,0.880394021,0.857418264,0.847937464,0.816933397,0.018778836,149.1914558,593.5942277,2752.784082,3791.218169,4180.250704,4335.561226
69,2,12,CIF,Weibull,Linear,10,1700,None,0.87212803,0.876776,0.884962763,0.878439761,0.871520625,0.832382612,0.019478438,149.2233185,594.4448236,2796.151357,3989.207334,4379.647176,4616.917895
70,2,12,RotSF,Weibull,Linear,10,1700,None,0.829873765,0.831009349,0.839169704,0.838932023,0.836000634,0.824037395,0.022895143,149.1144132,593.4387111,2826.222139,4133.598237,4428.432229,4579.725571
71,2,12,ORSF,Weibull,Linear,10,1700,None,0.879760207,0.894205884,0.906987799,0.90793852,0.900411979,0.854407648,0.017373973,149.1403409,593.0127358,2710.133682,3861.586618,4342.940984,4609.587043
72,2,12,RIST,Weibull,Linear,10,1700,None,0.850895262,0.879311255,0.879839434,0.878624624,0.870569904,0.84558707,0.018898527,148.6495802,588.3298018,2695.688228,3974.553987,4371.047291,4590.374322
73,2,13,logrank,Weibull,Linear,10,1700,None,0.804618902,0.839767236,0.865381618,0.863251416,0.863796955,0.835350964,0.012836777,86.59094679,341.8934498,1627.591593,2423.003244,2605.919597,2680.298305
74,2,13,L1,Weibull,Linear,10,1700,None,0.845586325,0.857588196,0.861640775,0.833272718,0.825349405,0.784615784,0.012836777,87.02268963,345.7568142,1626.767835,2389.183198,2564.928091,2690.951834
75,2,13,CIF,Weibull,Linear,10,1700,None,0.856133423,0.867771601,0.873564711,0.86818725,0.860419806,0.835922481,0.01208813,87.03882123,346.4865847,1623.057823,2386.635873,2553.800334,2666.932606
76,2,13,RotSF,Weibull,Linear,10,1700,None,0.802202941,0.828206993,0.82581701,0.823037356,0.819764119,0.810412012,0.014734885,86.85404275,345.6076654,1649.40487,2520.672362,2630.273571,2701.730815
77,2,13,ORSF,Weibull,Linear,10,1700,None,0.864706188,0.878734348,0.895905855,0.899023224,0.891515561,0.855821686,0.010583619,86.92950984,344.6685936,1604.301738,2311.444514,2528.456259,2676.754869
78,2,13,RIST,Weibull,Linear,10,1700,None,0.858757209,0.869174417,0.873616668,0.873746558,0.864290539,0.834623578,0.012308473,86.62671595,342.1411116,1615.354437,2394.944153,2565.885671,2660.361965
79,2,14,logrank,Weibull,Linear,10,1700,None,0.837842685,0.860517551,0.889264668,0.886113246,0.875147323,0.842044581,0.011963706,39.74879189,153.8049825,582.3018043,703.5424373,698.5080971,683.3233095
80,2,14,L1,Weibull,Linear,10,1700,None,0.831744812,0.871509096,0.877504484,0.855675122,0.835972329,0.798872662,0.011963706,40.07576255,158.5679486,587.11146,662.8605179,749.6928203,671.7563155
